generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_REPLICA_VARIANCE,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_REPLICA_VARIANCE,penalized_SLA_VIOLATION
0,1,4,0.5,0.7,20,200,768,0.09280912430618095,46172.048909199715,24411136,1,46172.049235623745,0.46404562153090473,0.999455959958653,0.030312856038411457,46192,46192,46192,0,0.0004896360372123388,0.5359543784690952,0.9696871439615885,0.2,0.75,,0.9995103639627877,2.8724709580019416,4.701465785821912,0.25,2,,7.39167858480188
0,1,2,0.8,0.6,10,200,896,0.08968497293879635,54188.75039721571,25198933.333333332,1,54188.75046206725,0.4484248646939817,0.9998811055026535,0.02682095482235863,54194,54194,54194,0,0.00010808590667862818,0.5515751353060183,0.9731790451776414,0.2,0.875,,0.9998919140933213,3.0423512988785237,4.735387269864329,0.25,2.828125,,7.3981626564120955
0,2,5,0.7,0.6,15,250,576,0.1876336737503447,32091.388059701494,23783765.333333332,2,32091.440298507463,0.3752673475006894,0.2835820895522388,0.03937841344762732,9015,33583,55295,0,0.2835820895522388,0.6247326524993106,0.9606215865523727,0.5,1.125,,0.7164179104477613,3.9029088709882442,4.613969162751989,1.3000000000000003,4.953125,,3.3832924927600816
0,1,3,0.5,0.7,15,200,576,0.09116680809226284,58392.294318242726,22305109.333333332,1,58392.29433164204,0.45583404046131415,0.9999843674628839,0.03693022551359954,58393,58393,58393,0,0.000013399317528093903,0.5441659595386859,0.9630697744864004,0.2,0.5625,,0.9999866006824719,2.961165915206587,4.637516952646431,0.25,1.05078125,,7.399772213397438
0,2,4,0.5,0.5,20,150,512,0.0791373392983492,58387.45051828569,22751914.666666668,2,58387.45054773972,0.26379113099449736,0.9999621305360422,0.042378743489583336,58389,58389,58389,0,0.00001893473197886884,0.7362088690055026,0.9576212565104166,0.3,1,,0.9999810652680211,5.420034988023613,4.585192354602946,0.49999999999999994,3.8125,,7.399678113141598
0,4,5,0.7,0.6,10,250,576,0.3255984349318023,16542.038095238095,23513181.09090909,4,16542.08095238095,0.3255984349318023,0,0.03893041129064078,5686,15710,31595,0,0.4714285714285714,0.6744015650681977,0.9610695887093592,1,2.25,,0.5285714285714286,4.548174709664345,4.618273771709884,5.050000000000001,22.25,,1.6081632653061226
0,4,5,0.5,0.7,20,400,256,0.48034522399977886,9630.909348441926,23503769.6,4.2,9630.949008498583,0.2859197761903446,0,0.08755836486816407,3800,8203,23464,0.15999999999999998,0.7790368271954674,0.7140802238096554,0.912441635131836,1.68,1.05,,0.2209631728045326,5.099105660360475,4.162748687610292,14.161999999999997,4.250000000000001,,0.22535771894485954
0,3,4,0.5,0.6,15,150,512,0.16188602825940174,39454.778947368424,23601152,3.4545454545454546,39454.85263157895,0.312411633483056,0.35789473684210527,0.0439605712890625,16359,53823,60351,0.24793388429752064,0.23157894736842105,0.687588366516944,0.9560394287109375,0.5181818181818183,1.7272727272727273,,0.7684210526315789,4.727777617694393,4.570056946249679,1.392561983471075,12.638946280991735,,3.999445983379501
0,4,5,0.8,0.7,20,350,768,0.4323187500251352,11148.58843537415,27680870.4,4,11148.6462585034,0.3087991071608109,0,0.03437309265136719,4275,9974,25867,0,0.7142857142857143,0.6912008928391891,0.9656269073486328,1.4,3,,0.2857142857142857,4.777586742616921,4.662176620978425,9.849999999999998,40.8125,,0.3591836734693877
0,2,5,0.7,0.7,10,250,512,0.18042079129239297,46656.35845588235,25134173.09090909,2,46656.38419117647,0.36084158258478594,0.8529411764705882,0.046816045587713066,51455,51455,51455,0,0.0625,0.6391584174152141,0.953183954412287,0.5,1,,0.9375,4.08523482552721,4.5427982547452235,1.3000000000000003,3.8125,,6.3765625
