minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
2,7,0.5,0.7,15,400,256,0.38856922289063167,19663.94890510949,26516386.90909091,2.6363636363636362,19664,0.36847081481008176,0.17883211678832117,0.09878123890269887,2694,9330,54564,0.7768595041322314,0.5802919708029197,0.6315291851899183,54564,1.0545454545454545,0.6590909090909091,0.4197080291970803,14.989377208069035,54564,33.85619834710743,4.8429752066115705,2.1574862805690227
4,5,0.5,0.5,15,400,256,0.5028926140955852,9024.681818181818,23545548.8,4.4,9024.72159090909,0.285734439827037,0,0.08771400451660157,2227,7011,29310,0.24,0.8295454545454546,0.714265560172963,29310,1.7600000000000002,1.1,0.17045454545454541,19.08057601634404,29310,100.96160000000002,73.35,0.17045454545454541
2,7,0.5,0.5,15,400,256,0.27779838134476886,25908.787072243347,23916953.6,2,25908.828897338404,0.3472479766809611,0.43346007604562736,0.08909759521484376,11014,30004,40676,0,0.27756653992395436,0.6527520233190389,40676,0.8,0.5,0.7224334600760456,15.991819365414607,40676,18.44,2.0625,10.548155387529095
7,8,0.5,0.4,10,500,576,0.9149557799637199,4780.426307448494,23292846.73015873,7,4780.4770206022185,0.2614159371324914,0,0.03856560708774251,1606,3453,12761,0,0.9746434231378764,0.7385840628675087,12761,3.5,3.9375,0.02535657686212356,20.37681510805504,12761,419.65999999999997,1363.703125,0.02535657686212356
2,7,0.3,0.7,15,450,256,0.48002129307337554,7140.251184834123,23511495.111111112,4.888888888888889,7140.289099526066,0.2181914968515343,0,0.08758714463975695,2001,6582,16624,0.9876543209876544,0.9170616113744076,0.7818085031484657,16624,2.2,1.2222222222222223,0.08293838862559244,22.785891784577267,16624,160.96000000000004,95.74382716049385,0.08293838862559244
6,7,0.5,0.7,15,500,256,0.7864855872676365,5619.383018867925,23352888.888888888,6.222222222222222,5619.441509433962,0.2527989387645974,0,0.0869962904188368,1482,3660,19810,0.1728395061728395,0.930188679245283,0.7472010612354025,19810,3.111111111111111,1.5555555555555556,0.06981132075471697,20.846340394042624,19810,329.5155555555555,172.00308641975306,0.06981132075471697
6,8,0.4,0.4,15,450,576,0.6998707800044672,5409.702654867257,23305481.48148148,6.888888888888889,5409.750442477876,0.22576476774337653,0,0.038586526250643,1867,4416,13904,0.9876543209876544,0.9823008849557522,0.7742352322566235,13904,3.1,3.875,0.017699115044247815,22.354082247485454,13904,327.1,1317.9375,0.017699115044247815
2,7,0.5,0.7,15,450,256,0.3581970617693565,15807.369294605809,24274944,2,15807.41908713693,0.397996735299285,0.029045643153526972,0.09043121337890625,2656,13582,39011,0,0.5518672199170125,0.602003264700715,39011,0.9,0.5,0.4481327800829875,13.648688770272202,39011,23.940000000000005,2.0625,2.6646483359446282
3,8,0.5,0.4,15,500,256,0.5422568212720369,9474.878698224851,23641565.866666667,3,9474.920118343196,0.36150454751469124,0,0.08807169596354167,3209,8404,22095,0,0.7692307692307693,0.6384954524853088,22095,1.5,0.75,0.23076923076923073,15.314847394884401,22095,72.05999999999997,7,0.264852071005917
2,8,0.3,0.7,10,450,256,0.3494762695356937,26347.086419753086,23868211.2,2,26347.10425240055,0.38830696615077076,0.7023319615912208,0.088916015625,23870,31887,31887,0,0.1673525377229081,0.6116930338492292,31887,0.9,0.5,0.8326474622770919,14.081754269597505,31887,23.940000000000005,2.0625,15.241388677200291
