generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
0,5,7,0.5,0.7,15,450,576,0.6380069760838167,6943.653153153153,23459339.377777778,5.444444444444445,6943.704954954955,0.2604110106464559,0,0.038841266396604936,2291,5084,18730,0.691358024691358,0.8626126126126126,0.7395889893535441,18730,2.45,3.0625,0.13738738738738743,20.431296423581422,18730,201.26000000000002,794.078125,0.13738738738738743
0,4,6,0.4,0.4,10,350,1024,0.46095716657373914,10025.037037037036,23315456,5.2,10025.089506172839,0.25327316844710945,0.0030864197530864196,0.021714210510253906,1818,5635,27869,0.96,0.7283950617283951,0.7467268315528905,27869,1.82,5.2,0.2716049382716049,20.820361426149578,27869,108.3224,2455.45,0.4561865569272975
0,5,8,0.7,0.5,15,250,384,0.37939451288929343,15040.158536585366,23376076.8,5,15040.219512195123,0.30351561031143476,0.016260162601626018,0.058055114746093754,4448,10194,46275,0,0.6056910569105691,0.6964843896885653,46275,1.25,1.875,0.3943089430894309,18.15974257256328,46275,48.85999999999999,265.9375,1.753523696212571
0,4,5,0.7,0.6,15,500,768,0.5834851748653478,7285.9249394673125,27070464,4.333333333333333,7285.963680387409,0.26930084993785286,0,0.0336151123046875,2380,6505,16185,0.2222222222222222,0.9225181598062954,0.7306991500621471,16185,2.1666666666666665,3.25,0.07748184019370463,19.95186407451774,16185,155.92666666666662,903.25,0.07748184019370463
0,2,4,0.7,0.7,15,300,256,0.22324295884464176,52851.070426963466,28311756.8,2,52852.06363579199,0.37207159807440293,0.9924542539143558,0.10546951293945313,53079,53079,53079,0,0.0031440608690184242,0.6279284019255971,53079,0.6,0.5,0.9968559391309816,14.822515207939627,53079,9.6,2.0625,23.856113897350443
0,3,4,0.3,0.3,15,450,576,0.411817919151904,11092.693548387097,23798973.629629627,3.3333333333333335,11092.748387096774,0.27454527943460266,0.06451612903225806,0.03940359358924897,1824,8648,29956,0.2222222222222222,0.6483870967741936,0.7254547205653974,29956,1.5,1.875,0.3516129032258064,19.671698577827673,29956,72.05999999999997,265.9375,1.1791259105098848
0,2,8,0.3,0.4,15,200,576,0.1546379489253019,55022.17515274949,23693627.076923076,2,55022.18533604888,0.38659487231325473,0.9083503054989817,0.039229172926682696,58270,58270,58270,0,0.028513238289205704,0.6134051276867453,58270,0.4,1.125,0.9714867617107943,14.158975751892864,58270,3.640000000000001,77.6875,22.39839240753108
0,5,6,0.6,0.3,10,100,1024,0.14874227190736042,40573.5306122449,23345070.08,5,40573.65306122449,0.29748454381472084,0.42857142857142855,0.021741790771484373,21000,45810,58664,0,0.20408163265306123,0.7025154561852791,58664,0.5,5,0.7959183673469388,18.46952223863687,58664,6.260000000000002,2261.25,13.580191586838819
0,3,8,0.7,0.4,15,350,384,0.33405334588641034,13689.741803278688,23737412.266666666,3.2,13689.790983606557,0.2982619159700093,0,0.05895250108506944,5057,15317,25206,0.15999999999999998,0.47950819672131145,0.7017380840299907,25206,1.12,1.2000000000000002,0.5204918032786885,18.429446272840956,25206,38.5744,91.45000000000003,4.218231658156408
0,5,8,0.4,0.4,10,350,512,0.5414361393862805,8567.233802816902,23360225.28,6.2,8567.270422535212,0.24950974165266385,0,0.04351181030273438,2631,8300,19301,2.16,0.8112676056338028,0.7504902583473362,19301,2.17,3.1,0.18873239436619715,21.02697286182039,19301,156.42639999999994,815.35,0.18873239436619715
